match_id,match,team,bowler_name,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,no_balls
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Wanindu Hasaranga,4,0,27,1,6.75,8,1,1,0,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Gerhard Erasmus,1,0,8,0,8.00,1,1,0,0,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,David Wiese,4,0,16,2,4.00,13,1,0,0,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Bernard Scholtz,4,0,18,2,4.50,10,1,0,0,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,JJ Smit,3,0,16,1,5.33,7,0,0,1,0
T20I # 1823,Namibia Vs Sri Lanka,Namibia,Jan Frylinck,4,0,26,2,6.50,10,0,2,1,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Junaid Siddique,4,0,24,3,6.00,10,2,0,1,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Basil Hameed,1,0,7,1,7.00,4,0,1,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Aayan Afzal Khan,3,0,15,1,5.00,8,1,0,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Karthik Meiyappan,4,0,22,1,5.50,11,2,0,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0
T20I # 1825,United Arab Emirates Vs Netherlands,United Arab Emirates,Kashif Daud,1,0,5,0,5.00,1,0,0,0,0
T20I # 1826,Scotland Vs West Indies,Scotland,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0
T20I # 1826,Scotland Vs West Indies,Scotland,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0
T20I # 1826,Scotland Vs West Indies,Scotland,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0
T20I # 1826,Scotland Vs West Indies,Scotland,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0
T20I # 1826,Scotland Vs West Indies,Scotland,Jason Holder,3,0,14,2,4.66,8,1,0,0,0
T20I # 1826,Scotland Vs West Indies,Scotland,Odean Smith,4,0,31,1,7.75,6,3,0,1,0
T20I # 1826,Scotland Vs West Indies,Scotland,Mark Watt,4,0,12,3,3.00,16,1,0,1,0
T20I # 1826,Scotland Vs West Indies,Scotland,Brad Wheal,4,0,32,2,8.00,10,4,1,0,0
T20I # 1826,Scotland Vs West Indies,Scotland,Josh Davey,3,0,34,1,11.33,8,4,2,1,0
T20I # 1826,Scotland Vs West Indies,Scotland,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0
T20I # 1826,Scotland Vs West Indies,Scotland,Michael Leask,4,0,15,2,3.75,11,0,0,1,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Josh Little,4,0,24,3,6.00,11,3,0,0,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Mark Adair,4,0,39,2,9.75,6,3,1,2,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Simi Singh,3,0,31,2,10.33,5,2,2,1,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Richard Ngarava,4,0,22,2,5.50,13,3,0,0,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Tendai Chatara,4,0,22,2,5.50,13,1,1,2,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Blessing Muzarabani,4,0,23,3,5.75,14,0,2,0,1
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Luke Jongwe,2,0,24,0,12.00,1,4,0,0,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Sean Williams,3,0,20,1,6.66,3,0,0,0,0
T20I # 1828,Zimbabwe Vs Ireland,Zimbabwe,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,David Wiese,2.3,0,22,0,8.80,4,3,0,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Gerhard Erasmus,3,0,13,0,4.33,8,0,0,1,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Ben Shikongo,1,0,18,0,18.00,1,0,2,1,0
T20I # 1830,Namibia Vs Netherlands,Namibia,JJ Smit,4,0,24,2,6.00,9,2,0,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Jan Frylinck,4,1,16,1,4.00,11,1,0,0,0
T20I # 1830,Namibia Vs Netherlands,Namibia,Jan Nicol Loftie-Eaton,1,0,8,0,8.00,2,1,0,0,1
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0
